text,source_tag,metadata
"branch_id: City: BOG, Neighborhood: CHAPINERO, ID: 01 | user_id: user_1 | comment: Excelente atención y tiempos de espera cortos.",reviews,"{""source"": ""bank_reviews"", ""row"": 0}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_2 | comment: Muy demorado el servicio en caja.",reviews,"{""source"": ""bank_reviews"", ""row"": 1}"
"branch_id: City: MED, Neighborhood: POBLADO, ID: 01 | user_id: user_3 | comment: Instalaciones limpias y bien organizadas.",reviews,"{""source"": ""bank_reviews"", ""row"": 2}"
"branch_id: City: MED, Neighborhood: ENVIGADO, ID: 02 | user_id: user_4 | comment: El personal fue poco amable.",reviews,"{""source"": ""bank_reviews"", ""row"": 3}"
"branch_id: City: CALI, Neighborhood: CENTRO, ID: 01 | user_id: user_5 | comment: Buen manejo de filas y turnos.",reviews,"{""source"": ""bank_reviews"", ""row"": 4}"
"branch_id: City: CALI, Neighborhood: NORTE, ID: 02 | user_id: user_6 | comment: La sucursal estaba desordenada.",reviews,"{""source"": ""bank_reviews"", ""row"": 5}"
"branch_id: City: BAR, Neighborhood: ALTO, ID: PRADO | user_id: user_7 | comment: Atención rápida pero poco clara.",reviews,"{""source"": ""bank_reviews"", ""row"": 6}"
"branch_id: City: BAR, Neighborhood: SOLEDAD, ID: 02 | user_id: user_8 | comment: Muy buen trato al cliente.",reviews,"{""source"": ""bank_reviews"", ""row"": 7}"
"branch_id: City: CAR, Neighborhood: BOCAGRANDE, ID: 01 | user_id: user_9 | comment: Demasiada congestión en horas pico.",reviews,"{""source"": ""bank_reviews"", ""row"": 8}"
"branch_id: City: CAR, Neighborhood: MANGA, ID: 02 | user_id: user_10 | comment: Ambiente agradable y cómodo.",reviews,"{""source"": ""bank_reviews"", ""row"": 9}"
"branch_id: City: CAR, Neighborhood: MANGA, ID: 02 | user_id: user_11 | comment: Instalaciones limpias y bien organizadas.",reviews,"{""source"": ""bank_reviews"", ""row"": 10}"
"branch_id: City: BAR, Neighborhood: SOLEDAD, ID: 02 | user_id: user_12 | comment: Buen manejo de filas y turnos.",reviews,"{""source"": ""bank_reviews"", ""row"": 11}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_13 | comment: Demasiada congestión en horas pico.",reviews,"{""source"": ""bank_reviews"", ""row"": 12}"
"branch_id: City: MED, Neighborhood: POBLADO, ID: 01 | user_id: user_14 | comment: Muy buen trato al cliente.",reviews,"{""source"": ""bank_reviews"", ""row"": 13}"
"branch_id: City: MED, Neighborhood: ENVIGADO, ID: 02 | user_id: user_15 | comment: El personal fue poco amable.",reviews,"{""source"": ""bank_reviews"", ""row"": 14}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_16 | comment: La sucursal estaba desordenada.",reviews,"{""source"": ""bank_reviews"", ""row"": 15}"
"branch_id: City: CAR, Neighborhood: MANGA, ID: 02 | user_id: user_17 | comment: La sucursal estaba desordenada.",reviews,"{""source"": ""bank_reviews"", ""row"": 16}"
"branch_id: City: MED, Neighborhood: POBLADO, ID: 01 | user_id: user_18 | comment: Instalaciones limpias y bien organizadas.",reviews,"{""source"": ""bank_reviews"", ""row"": 17}"
"branch_id: City: BOG, Neighborhood: CHAPINERO, ID: 01 | user_id: user_19 | comment: Demasiada congestión en horas pico.",reviews,"{""source"": ""bank_reviews"", ""row"": 18}"
"branch_id: City: CAR, Neighborhood: MANGA, ID: 02 | user_id: user_20 | comment: Demasiada congestión en horas pico.",reviews,"{""source"": ""bank_reviews"", ""row"": 19}"
"branch_id: City: BAR, Neighborhood: SOLEDAD, ID: 02 | user_id: user_21 | comment: Muy demorado el servicio en caja.",reviews,"{""source"": ""bank_reviews"", ""row"": 20}"
"branch_id: City: BAR, Neighborhood: SOLEDAD, ID: 02 | user_id: user_22 | comment: Excelente atención y tiempos de espera cortos.",reviews,"{""source"": ""bank_reviews"", ""row"": 21}"
"branch_id: City: CALI, Neighborhood: CENTRO, ID: 01 | user_id: user_23 | comment: Muy buen trato al cliente.",reviews,"{""source"": ""bank_reviews"", ""row"": 22}"
"branch_id: City: CAR, Neighborhood: BOCAGRANDE, ID: 01 | user_id: user_24 | comment: Excelente atención y tiempos de espera cortos.",reviews,"{""source"": ""bank_reviews"", ""row"": 23}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_25 | comment: Ambiente agradable y cómodo.",reviews,"{""source"": ""bank_reviews"", ""row"": 24}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_26 | comment: Excelente atención y tiempos de espera cortos.",reviews,"{""source"": ""bank_reviews"", ""row"": 25}"
"branch_id: City: MED, Neighborhood: ENVIGADO, ID: 02 | user_id: user_27 | comment: La sucursal estaba desordenada.",reviews,"{""source"": ""bank_reviews"", ""row"": 26}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_28 | comment: Instalaciones limpias y bien organizadas.",reviews,"{""source"": ""bank_reviews"", ""row"": 27}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_29 | comment: La sucursal estaba desordenada.",reviews,"{""source"": ""bank_reviews"", ""row"": 28}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_30 | comment: Ambiente agradable y cómodo.",reviews,"{""source"": ""bank_reviews"", ""row"": 29}"
"branch_id: City: BOG, Neighborhood: CHAPINERO, ID: 01 | user_id: user_31 | comment: Buen manejo de filas y turnos.",reviews,"{""source"": ""bank_reviews"", ""row"": 30}"
"branch_id: City: MED, Neighborhood: POBLADO, ID: 01 | user_id: user_32 | comment: Atención rápida pero poco clara.",reviews,"{""source"": ""bank_reviews"", ""row"": 31}"
"branch_id: City: MED, Neighborhood: ENVIGADO, ID: 02 | user_id: user_33 | comment: El personal fue poco amable.",reviews,"{""source"": ""bank_reviews"", ""row"": 32}"
"branch_id: City: BOG, Neighborhood: SUBA, ID: 02 | user_id: user_34 | comment: El personal fue poco amable.",reviews,"{""source"": ""bank_reviews"", ""row"": 33}"
"branch_id: City: BOG, Neighborhood: CHAPINERO, ID: 01 | user_id: user_35 | comment: Atención rápida pero poco clara.",reviews,"{""source"": ""bank_reviews"", ""row"": 34}"
"1 
Bre-B: 
Sistema  de Pagos Inmediatos 
Interoperado de Colombia  
Diseño, Implementación y 
Perspectivas 
BANCO DE LA REPÚBLICA  
 
Febrero  de 2026",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 0}"
"1 Contenido  
 
1. Introducción ................................ ................................ ................................ ................................ ........... 2 
2. La digitalización de los pagos: objetivos de política pública  ................................ ................................ ... 3 
3. Contexto inicial de mercado  ................................ ................................ ................................ ...................  6 
4. El proceso de conceptualización de Bre -B ................................ ................................ ..............................  9 
4.1. Primer Foro de Sistemas de Pagos 2022 ................................ ................................ .....................  10",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 1}"
"4.2. Rol del BR: Regulador y Proveedor de servicios y componentes tecnológicos  ............................ 11 
4.3. El rol de los SPBVI y la conexión de participantes  ................................ ................................ ....... 14 
4.4. Bre-B: un sistema único en el contexto internacional  ................................ ................................ . 15 
5. Marco regulatorio e implementación  ................................ ................................ ................................ ... 15 
5.1. Mandato legal y marco regulatorio  ................................ ................................ .............................  15",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 1}"
"5.2. Una construcción gradual y coordinada  ................................ ................................ ...................... 15 
5.3. Coordinación institucional: sinergias internas y trabajo con la industria de pagos  .....................  18 
6. Evolución reciente de la industria de pagos e impacto inicial de Bre -B ................................ ................ 19 
6.1. Ajustes en la oferta de servicios de pago inmediatos  ................................ ................................ . 19 
6.2. Resultados iniciales de Bre -B ................................ ................................ ......................................  20",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 1}"
"7. Consolidación de Bre -B y estrategias a futuro  ................................ ................................ ...................... 23 
7.1. Consolidación de Bre -B ................................ ................................ ................................ ............... 23 
7.2. Estrategias a futuro  ................................ ................................ ................................ .....................  24 
8. Conclusiones  ................................ ................................ ................................ ................................ ........  26 
9. Referencias  ................................ ................................ ................................ ................................ ........... 28",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 1}"
10. Anexo  ................................ ................................ ................................ ................................ ..............  30,bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 1}"
"Bre-B: Sistema  de Pagos Inmediatos Interoperado de Colombia  
Diseño, Implementación y Perspectivas  
2 1. Introducción  
En la última década, los sistemas de pagos inmediatos se han consolidado como una 
infraestructura esencial para la modernización financiera en economías emergentes . Su rápida 
adopción ha sido la respuesta a la mayor digitalización de las economías, la necesidad de 
depender menos del efectivo en los pagos y la búsqueda de mayor profundización e inclusión 
financiera. Colombia no ha sido ajena a esta tendencia, con avances importantes del sector 
privado, pero también con retos derivados de la segmentación en la prestación de servicios de 
pago inm ediatos.  
En este escenario global y nacional, el Banco de la República  (BR) impulsó la creación de Bre -B, el",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 2}"
"nuevo sistema  de pagos inmediatos interoperados que busca la interconexión de  múltiples 
entidades administradoras de sistemas de pago de bajo  valor inmediatos (EASPBVI) y sus 
participantes.  La iniciativa se  desarrolló con el propósito de acelerar la adopción de los pagos 
electrónicos inmediatos en el país, mediante una aproximación que aprovechara los modelos y 
soluciones transaccionales existentes.  
A partir de esta estrategia inicial, Bre -B busca avanzar  en la interoperabilidad y reducir las 
barreras técnicas, operativas y de costes que históricamente han limitado la participación de 
algunos actores, así como promover economías de red y de escala en la prestación de dichos 
servicios. Todo ello con el obje tivo de crear condiciones para una oferta más accesible y una",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 2}"
"servicios. Todo ello con el obje tivo de crear condiciones para una oferta más accesible y una 
experiencia unificada para los usuarios finales de los pagos electrónicos inmediatos, sin importar 
qué entidades estén detrás de la operac ión. 
Bre-B se fundamenta en principios internacionales y en aprendizajes regionales, adaptados al 
contexto colombiano mediante un modelo de gobernanza público -privada. La arquitectura 
interconecta  componentes centralizados provistos por el banco central — el directorio de llaves1 
(alias ) y el mecanismo de liquidación — con los sistemas de pago de bajo valor inmediatos 
(SPBVI ), garantizando  acceso , seguridad  y condiciones equitativas para los distintos actores de la 
industria de servicios de pago inmediatos.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 2}"
"industria de servicios de pago inmediatos.  
La implementación de  Bre-B ha requerido un esfuerzo coordinado, liderado por el B R, con otras 
autoridades  públicas , entidades del sector (bancos,  compañías de financiamiento, Sociedades 
Especializadas en Depósitos y Pagos Electrónicos -SEDPE- , cooperativas , fintechs, EASPBVI) y 
proveedores tecnológicos especializados en pagos . Entre estos se incluyen  firmas que 
suministran aplicaciones transaccionales y componentes de capa intermedia para ofrecer el servicio de pagos inmediatos. Este trabajo se ha desarroll ado mediante un esquema de discusión 
permanente para construir la regulación, definir estándares técnicos y adoptar reglas operativas comunes.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 2}"
"1 Las llaves o alias identifican las cuentas a las que pueden hacerse los pagos o transferencias a través de alternativas 
de fácil recordación para los usuarios tales como el número de celular, el número de identificación, el correo 
electrónico, códigos alf anuméricos o códigos de comercio.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 2}"
"Bre-B: Sistema  de Pagos Inmediatos Interoperado de Colombia  
Diseño, Implementación y Perspectivas  
3 Desde la expedición del marco normativo  respectivo  en 20232, hasta su entrada en operación en 
octubre de 2025, Bre -B ha pasado por varias etapas: definición de estándares técnicos , 
adquisición, ajustes y configuración del software, pruebas de interoperabilidad, creación de la 
identidad de marca registrada (el sello “Bre -B”) y campañas masivas para el registro de llaves. 
Gracias a este despliegue, más de doscientas entidades se han vinculado como participantes3, 
ampliando la cobertura y sentando las bases para nuev os casos de uso . 
Hoy, Bre -B representa un hito en la infraestructura electrónica de pagos del país. Sin embargo,",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"Hoy, Bre -B representa un hito en la infraestructura electrónica de pagos del país. Sin embargo, 
como es inherente a proyectos de este alcance, s u consolidación plantea retos estratégicos que 
determinarán su impacto a largo plazo: afianzar  la operación, garantizar la interoperabilidad 
plena, escalar hacia nuevos servicios y casos de uso y fortalecer la confianza del usuario. Estos 
desafíos constituyen la hoja de ruta para que Bre-B se consolide en un  sistema  robusto soportado 
por una plataforma segura y centrada en las necesidades de ciudadanos, empresas y otros 
agentes en materia de servicios de pago inmediatos.  
2. La digitalización de los pagos: o bjetivos de p olítica  pública",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"2. La digitalización de los pagos: o bjetivos de p olítica  pública  
La acelerada digitalización de las economías refuerza la necesidad de crear condiciones adecuadas para el acceso a instrumentos de pago electrónicos. Estos instrumentos permiten 
reducir los costos de transacción, ampliar la formalización y mejorar la compe titividad  (BID, 2023; 
World Economic Forum, 2022). A su vez, l a digitalización de  los pagos redunda sobre la inclusión 
financiera, al ampliar la intermediación financiera y facilitar el acceso a productos como créditos 
y seguros (CPMI  y Banco Mundial , 2016; FMI, 2022; Banco Mundial, 2024).  
La digitalización de  los pagos también reduce la dependencia del efectivo, lo que conlleva a una",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"La digitalización de  los pagos también reduce la dependencia del efectivo, lo que conlleva a una 
mayor eficiencia en el sistema de pagos (Arango y Suarez, 2019). En el mediano plazo, los costos 
sociales de provisión de los instrumentos de pago electrónicos son menos elevados que los 
costos operativos y logísticos de proveer el efectivo , incluyendo su impresión, transporte, 
seguridad, almacenamiento  y destrucción (Schmiedel, Kostova y Rutemberg, 2012).  
La provisión de sistemas de pago electrónicos se caracteriza por efectos de red y economías de 
escala, que tienden a concentrar la actividad en pocos proveedores exponiéndose así a riesgos de 
exclusión y a falta de competencia. En ausencia de una intervención pública, estas dinámicas",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"exclusión y a falta de competencia. En ausencia de una intervención pública, estas dinámicas 
pueden consolidar estructuras de mercado fragmentadas y barreras a la entrada que inhiben la 
innovación y crean ineficiencias en la provisión y acceso a los servicios de pago. D e ahí que la 
política nacional para la digitalizac ión de los pagos deba propender por condiciones de acceso y 
de interoperabilidad equitativas para los distintos actores en la provisión de servicios de pago 
electrónicos bajo  principios de eficiencia, seguridad, inclusión y resiliencia.  
 
2 El marco normativo se explica en el capítulo 5 del presente documento e incluye el artículo 104 de la Ley 2294 de",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"2023 (ley del Plan Nacional de Desarrollo), la Resolución Externa No. 6 de 2023 de la Junta Directiva del BR y la 
Circular Reglamentaria Exte rna DSP - 465 del BR, disponibles en:  
https://www.banrep.gov.co/sites/default/files/reglamentacion/archivos/bjd_40_2023.pdf  y 
https://www.banrep.gov.co/sites/default/files/reglamentacion/archivos/junta -directiva -boletin -28-2024.pdf . 
3 Corte: 30 de noviembre de 2025.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 3}"
"Bre-B: Sistema  de Pagos Inmediatos Interoperado de Colombia  
Diseño, Implementación y Perspectivas  
4 En la última década, la adopción global de sistemas de pagos inmediatos se ha acelerado, 
transformando la manera en que se realizan las transacciones financieras . Actualmente, más de 
123 países han implementado estas infraestructuras, permitiendo transferencias en tiempo real 
las 24 horas del día, los siete días de la semana, los 365 días del año (Banco de Pagos 
Internacionales, 2024; ACI Worldwide, 2024) (en adelante 24/7/365). En particular, e n América 
Latina, 15 países cuentan con Sistemas  de Pago de Baj o Valor Inmediatos  como Pix en Brasil, SPEI",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"y CoDi en México, SINPE en Costa Rica y otras plataformas en Perú, Chile, Bolivia y Argentina (Banco Central do Brasil, 2023; Banco de México, 2023). Estos desarrollos han impulsado la inclusión financiera, reducido el uso de efec tivo y fomentado la competencia, al ofrecer servicios 
de bajo costo y alta disponibilidad para millones de usuarios
4. 
Un rasgo institucional relevante  de los SPBVI  en la región  es que  más del 70  % son públicos o 
mixtos, liderados por bancos centrales y apoyados por marcos regulatorios robustos (Jaramillo -
Buendía et al., 2025; Banco Mundial, 2024). Así mismo, la experiencia internacional confirma que 
los sistemas que amplían  el acceso a diferentes tipos de actores, con operación continua",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"los sistemas que amplían  el acceso a diferentes tipos de actores, con operación continua 
24/7/365 y de bajo costo facilitan los pagos inmediatos, fortalecen la estabilidad del sistema 
financiero y promueven la innovación digital, sentando las bases para mayor inclusión y  
competiti vidad  (BIS,  2024).  
De acuerdo con la evidencia internacional, u n aspecto crucial del éxito en la adopción de los 
sistemas de pago inmediatos es el de garantizar la interoperabilidad5, definida como la capacidad 
de enviar o recibir pagos o transferencias entre entidades, sin importar quien presta el servicio 
en cada extremo; de manera similar a lo que ocurre con una llamada telefónica. En efecto, la 
interoperabilidad es un objetivo estratégico clave para resolver las  fallas de mercado a las que se",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"puede ver abocada la prestación de servicios de pago y maximizar los beneficios sociales 
(Copestake, Kirti y Martinez, 2025; BtC, 2024; BIS, 2023). Sin embargo, su implementación suele 
verse limitada por incentivos privados adversos y problemas de coordinación entre sus actores.  
En este contexto, en Colombia el sector privado hizo avances significativos con la 
implementación de SPBVI orientados a grupos de entidades específicos, tales como Visionamos 
(2006), un sistema intercooperativo, y Transfiya (2020), un sistema con interoper abilidad parcial 
entre un grupo importante de entidades financieras, al que se hará referencia en detalle más",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"entre un grupo importante de entidades financieras, al que se hará referencia en detalle más 
adelante. Asimismo, el decreto 1692 de 2020 estableció las reglas para la administración, acceso y operación de los sistemas de pago de bajo valor . Dicho marco normativo dio las bases para 
establecer estándares comunes, promover la competencia y facilitar un acceso más equitativo, 
con la entrada de más EASPBVI y participantes.  
 
4 En el caso de PIX en Brasil, el sistema superó los 170 millones de usuarios, lo que representa más del 80% de la 
población ( https://www.bcb.gov.br/estabilidadefinanceira/pix -em-numeros -estatisticas ).  
5 De acuerdo con el numeral 2 de la Circular Reglamentaria Externa DSP - 465 del BR, las EASPBVI deben cumplir los",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"procesos técnicos y operativos señalados en dicha Circular para procesar las órdenes de pago y/o transferencias de 
fondos inmediatas, y en sus reglamentos deben exigir que los participantes (o sus proveedores de servicios de pago) cumplan con las disposiciones que permiten la interoperabilidad de los pagos.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 4}"
"Bre-B: Sistema  de Pagos Inmediatos Interoperado de Colombia  
Diseño, Implementación y Perspectivas  
5 En 2021, El FMI en  su Financial Sector Asses sment Program  (FSAP) 6 reconoció  los avances 
regulatorios del país y la mejora en la oferta de servicios de pago electrónicos. No obstante, 
advirtió  que la existencia de múltiples soluciones privadas sin interoperabilidad limitaba la 
masificación de los pagos electrónicos inmediatos.  El FSAP recomendó implementar un sistema 
de pagos inmediatos interoperable, con gobernanza pública y participación privada, para 
impulsar la inclusión, la eficiencia y la innovación. Asimismo, alertó sobre el riesgo de crédito y de 
contraparte existente en los  mecanismos de liquidación propietarios, contrarios a las mejores",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 5}"
"contraparte existente en los  mecanismos de liquidación propietarios, contrarios a las mejores 
prácticas internacionales, y sugirió adoptar un modelo  de liquidación respaldado por dinero en el 
banco central . 
El diagnóstico del FSAP reflejaba adecuadamente las condiciones de la industria de pagos electrónicos en ese momento : el uso de los servicios de pago y transferencias cuenta a cuenta 
era bajo frente a pares internacionales; el mercado continuaba siendo segmentado y dominado  
por operaciones intraentidad
7 a través de múltiples billeteras ; los SPBVI y los códigos QR8 no eran 
plenamente interoperables; el acceso a ellos seguía limitado a pocos participantes; y la experiencia del usuario resultaba confusa.",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 5}"
"Esta situación evidenció la necesidad de una respuesta articulada. El BR consideró necesario 
avanzar hacia una solución a los problemas de coordinación del mercado y consolidar un sistema 
de pagos inmediatos minoristas interoperable, con una experiencia de usuario unificada, sencilla, 
segura y accesible que facilitara la adopción de los pagos electrónicos. Para el efecto, el BR 
desplegó, desde agosto de 2022, con el primer Foro de Sistemas de Pago, una agenda de política 
pública coordinada con el sector privado desde el á mbito regulatorio y de diseño de la 
arquitectura tecnológica, para definir las características de lo que sería Bre -B. 
Los objetivos de política de Bre -B- son:",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 5}"
"Los objetivos de política de Bre -B- son:  
1. Interoperabilidad:  sistema  interoperable entre los participantes y los SPBVI , con el fin de que 
los usuarios finales pueda n enviar o recibir pagos o transferencias, sin importar qu é entidades 
prestan el servicio en cada extremo.  
 
6 Financial Sector Asses sment Program , evaluación que realiza conjuntamente el Banco Mundial y Fondo Monetario 
Internacional sobre la salud de los sistemas financieros. En 2012 el enfoque relativo a pagos del FSAP se centró en la 
estabilidad y eficiencia, particularmente en los servicios de c ompensación y liquidación de operaciones de alto valor. 
En 2021 el análisis de pagos giró alrededor de elementos para potenciar la inclusión financiera (CPMI y Banco Mundial, 2016).",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 5}"
"7 Transferencias Intraentidad son aquellas en las que la Entidad Emisora del Ordenante y la Entidad Receptora del 
Beneficiario son la misma entidad (numeral 29, articulo 2.17.1.1.1. del decreto 2555 de 2010). En este reporte se entienden estas transferencia s como inmediatas intraentidad.  
8 El código QR, en el contexto de los pagos digitales, es una imagen que contiene información codificada para realizar 
pagos y que puede ser leída por la cámara de un teléfono celular. Ello permite transmitir datos de manera rápida y segura, almacenando más  datos que los códigos de barras tradicionales. En Bre -B los códigos QR pueden ser",bre-b,"{""source"": ""documento_tecnico_bre-b"", ""page"": 5}"
